"Step","4ojp66b1-114 - val/energy_mae_per_atom","4ojp66b1-114 - val/energy_mae_per_atom__MIN","4ojp66b1-114 - val/energy_mae_per_atom__MAX","k0vm6p66-114 - val/energy_mae_per_atom","k0vm6p66-114 - val/energy_mae_per_atom__MIN","k0vm6p66-114 - val/energy_mae_per_atom__MAX","bzebif6e-113 - val/energy_mae_per_atom","bzebif6e-113 - val/energy_mae_per_atom__MIN","bzebif6e-113 - val/energy_mae_per_atom__MAX","lv2prrgk-112 - val/energy_mae_per_atom","lv2prrgk-112 - val/energy_mae_per_atom__MIN","lv2prrgk-112 - val/energy_mae_per_atom__MAX","6gk9uial-111 - val/energy_mae_per_atom","6gk9uial-111 - val/energy_mae_per_atom__MIN","6gk9uial-111 - val/energy_mae_per_atom__MAX"
"45","0.005528564099222422","0.005528564099222422","0.005528564099222422","0.06732787936925888","0.06732787936925888","0.06732787936925888","0.11249145120382309","0.11249145120382309","0.11249145120382309","0.0052685546688735485","0.0052685546688735485","0.0052685546688735485","0.0051721190102398396","0.0051721190102398396","0.0051721190102398396"
"90","0.0056091309525072575","0.0056091309525072575","0.0056091309525072575","0.17521484196186066","0.17521484196186066","0.17521484196186066","0.22617553174495697","0.22617553174495697","0.22617553174495697","0.005297851283103228","0.005297851283103228","0.005297851283103228","0.005122070200741291","0.005122070200741291","0.005122070200741291"
"135","0.007368163671344519","0.007368163671344519","0.007368163671344519","0.18318359553813934","0.18318359553813934","0.18318359553813934","0.27119994163513184","0.27119994163513184","0.27119994163513184","0.005217284895479679","0.005217284895479679","0.005217284895479679","0.008388672024011612","0.008388672024011612","0.008388672024011612"
"180","0.008811035193502903","0.008811035193502903","0.008811035193502903","0.15566161274909973","0.15566161274909973","0.15566161274909973","0.26390013098716736","0.26390013098716736","0.26390013098716736","0.0050378418527543545","0.0050378418527543545","0.0050378418527543545","0.005675048567354679","0.005675048567354679","0.005675048567354679"
"225","0.006683349609375","0.006683349609375","0.006683349609375","0.11244750767946243","0.11244750767946243","0.11244750767946243","0.2334558069705963","0.2334558069705963","0.2334558069705963","0.0050988770090043545","0.0050988770090043545","0.0050988770090043545","0.0038110350724309683","0.0038110350724309683","0.0038110350724309683"
"270","0.0051770019344985485","0.0051770019344985485","0.0051770019344985485","0.07945922762155533","0.07945922762155533","0.07945922762155533","0.21159911155700684","0.21159911155700684","0.21159911155700684","0.007010498084127903","0.007010498084127903","0.007010498084127903","0.004464111290872097","0.004464111290872097","0.004464111290872097"
"315","0.004750976338982582","0.004750976338982582","0.004750976338982582","0.0661914050579071","0.0661914050579071","0.0661914050579071","0.20796264708042145","0.20796264708042145","0.20796264708042145","0.0056433104909956455","0.0056433104909956455","0.0056433104909956455","0.0051989746280014515","0.0051989746280014515","0.0051989746280014515"
"360","0.005369872786104679","0.005369872786104679","0.005369872786104679","0.05507202073931694","0.05507202073931694","0.05507202073931694","0.2174084484577179","0.2174084484577179","0.2174084484577179","0.005361327901482582","0.005361327901482582","0.005361327901482582","0.020225830376148224","0.020225830376148224","0.020225830376148224"
"405","0.004713134840130806","0.004713134840130806","0.004713134840130806","0.04910522326827049","0.04910522326827049","0.04910522326827049","0.22056518495082855","0.22056518495082855","0.22056518495082855","0.005272216629236937","0.005272216629236937","0.005272216629236937","0.0064111328683793545","0.0064111328683793545","0.0064111328683793545"
"450","0.0028833006508648396","0.0028833006508648396","0.0028833006508648396","0.03962524235248566","0.03962524235248566","0.03962524235248566","0.22282226383686066","0.22282226383686066","0.22282226383686066","0.0053295898251235485","0.0053295898251235485","0.0053295898251235485","0.003792724572122097","0.003792724572122097","0.003792724572122097"
"495","0.0024536133278161287","0.0024536133278161287","0.0024536133278161287","0.018193358555436134","0.018193358555436134","0.018193358555436134","0.21886473894119263","0.21886473894119263","0.21886473894119263","0.003173828125","0.003173828125","0.003173828125","0.005867919884622097","0.005867919884622097","0.005867919884622097"
"540","0.0021191404666751623","0.0021191404666751623","0.0021191404666751623","0.014644774608314037","0.014644774608314037","0.014644774608314037","0.21697020530700684","0.21697020530700684","0.21697020530700684","0.002832031110301614","0.002832031110301614","0.002832031110301614","0.003312988206744194","0.003312988206744194","0.003312988206744194"
"585","0.0025134277530014515","0.0025134277530014515","0.0025134277530014515","0.010440673679113388","0.010440673679113388","0.010440673679113388","0.2140478491783142","0.2140478491783142","0.2140478491783142","0.0024536133278161287","0.0024536133278161287","0.0024536133278161287","0.004779052454978228","0.004779052454978228","0.004779052454978228"
"630","0.002794189378619194","0.002794189378619194","0.002794189378619194","0.006879882887005806","0.006879882887005806","0.006879882887005806","0.21126341819763184","0.21126341819763184","0.21126341819763184","0.002244872972369194","0.002244872972369194","0.002244872972369194","0.0063317869789898396","0.0063317869789898396","0.0063317869789898396"
"675","0.0035620115231722593","0.0035620115231722593","0.0035620115231722593","0.005140380933880806","0.005140380933880806","0.005140380933880806","0.21364013850688934","0.21364013850688934","0.21364013850688934","0.002275390550494194","0.002275390550494194","0.002275390550494194","0.0018225096864625812","0.0018225096864625812","0.0018225096864625812"
"720","0.0038977048825472593","0.0038977048825472593","0.0038977048825472593","0.005391845479607582","0.005391845479607582","0.005391845479607582","0.2198205590248108","0.2198205590248108","0.2198205590248108","0.0023950194008648396","0.0023950194008648396","0.0023950194008648396","0.0018261718796566129","0.0018261718796566129","0.0018261718796566129"
