"Step","4ojp66b1-114 - val/force_mae","4ojp66b1-114 - val/force_mae__MIN","4ojp66b1-114 - val/force_mae__MAX","k0vm6p66-114 - val/force_mae","k0vm6p66-114 - val/force_mae__MIN","k0vm6p66-114 - val/force_mae__MAX","bzebif6e-113 - val/force_mae","bzebif6e-113 - val/force_mae__MIN","bzebif6e-113 - val/force_mae__MAX","lv2prrgk-112 - val/force_mae","lv2prrgk-112 - val/force_mae__MIN","lv2prrgk-112 - val/force_mae__MAX","6gk9uial-111 - val/force_mae","6gk9uial-111 - val/force_mae__MIN","6gk9uial-111 - val/force_mae__MAX"
"45","0.7054113745689392","0.7054113745689392","0.7054113745689392","0.7033206224441528","0.7033206224441528","0.7033206224441528","0.7032895684242249","0.7032895684242249","0.7032895684242249","0.7148109078407288","0.7148109078407288","0.7148109078407288","0.710803747177124","0.710803747177124","0.710803747177124"
"90","0.5861037969589233","0.5861037969589233","0.5861037969589233","0.5530046820640564","0.5530046820640564","0.5530046820640564","0.5613803267478943","0.5613803267478943","0.5613803267478943","0.7088217735290527","0.7088217735290527","0.7088217735290527","0.6716126799583435","0.6716126799583435","0.6716126799583435"
"135","0.3740081787109375","0.3740081787109375","0.3740081787109375","0.37743139266967773","0.37743139266967773","0.37743139266967773","0.3980925381183624","0.3980925381183624","0.3980925381183624","0.6899926662445068","0.6899926662445068","0.6899926662445068","0.45544514060020447","0.45544514060020447","0.45544514060020447"
"180","0.2670513987541199","0.2670513987541199","0.2670513987541199","0.2730602025985718","0.2730602025985718","0.2730602025985718","0.289825439453125","0.289825439453125","0.289825439453125","0.6190648674964905","0.6190648674964905","0.6190648674964905","0.30089670419692993","0.30089670419692993","0.30089670419692993"
"225","0.2017948031425476","0.2017948031425476","0.2017948031425476","0.20906084775924683","0.20906084775924683","0.20906084775924683","0.22091160714626312","0.22091160714626312","0.22091160714626312","0.4163517653942108","0.4163517653942108","0.4163517653942108","0.22614678740501404","0.22614678740501404","0.22614678740501404"
"270","0.1676880270242691","0.1676880270242691","0.1676880270242691","0.17219401895999908","0.17219401895999908","0.17219401895999908","0.17844660580158234","0.17844660580158234","0.17844660580158234","0.3141706883907318","0.3141706883907318","0.3141706883907318","0.18501509726047516","0.18501509726047516","0.18501509726047516"
"315","0.13673332333564758","0.13673332333564758","0.13673332333564758","0.13895830512046814","0.13895830512046814","0.13895830512046814","0.14777438342571259","0.14777438342571259","0.14777438342571259","0.26136091351509094","0.26136091351509094","0.26136091351509094","0.15181967616081238","0.15181967616081238","0.15181967616081238"
"360","0.11196446418762207","0.11196446418762207","0.11196446418762207","0.11131426692008972","0.11131426692008972","0.11131426692008972","0.12055537849664688","0.12055537849664688","0.12055537849664688","0.23010194301605225","0.23010194301605225","0.23010194301605225","0.12302429229021072","0.12302429229021072","0.12302429229021072"
"405","0.0944424718618393","0.0944424718618393","0.0944424718618393","0.09507899731397629","0.09507899731397629","0.09507899731397629","0.10158268362283707","0.10158268362283707","0.10158268362283707","0.2077743411064148","0.2077743411064148","0.2077743411064148","0.09800547361373901","0.09800547361373901","0.09800547361373901"
"450","0.08275073766708374","0.08275073766708374","0.08275073766708374","0.08367738872766495","0.08367738872766495","0.08367738872766495","0.08924491703510284","0.08924491703510284","0.08924491703510284","0.1859404742717743","0.1859404742717743","0.1859404742717743","0.0830334946513176","0.0830334946513176","0.0830334946513176"
