"Step","8cpbv0o1-119 - val/force_mae","8cpbv0o1-119 - val/force_mae__MIN","8cpbv0o1-119 - val/force_mae__MAX","llroik6o-118 - val/force_mae","llroik6o-118 - val/force_mae__MIN","llroik6o-118 - val/force_mae__MAX","jsek6sl2-116 - val/force_mae","jsek6sl2-116 - val/force_mae__MIN","jsek6sl2-116 - val/force_mae__MAX","lcfwx2ma-116 - val/force_mae","lcfwx2ma-116 - val/force_mae__MIN","lcfwx2ma-116 - val/force_mae__MAX","4ojp66b1-114 - val/force_mae","4ojp66b1-114 - val/force_mae__MIN","4ojp66b1-114 - val/force_mae__MAX","6gk9uial-111 - val/force_mae","6gk9uial-111 - val/force_mae__MIN","6gk9uial-111 - val/force_mae__MAX"
"45","0.5594465732574463","0.5594465732574463","0.5594465732574463","0.7176366448402405","0.7176366448402405","0.7176366448402405","0.666368842124939","0.666368842124939","0.666368842124939","0.7155078649520874","0.7155078649520874","0.7155078649520874","0.7054113745689392","0.7054113745689392","0.7054113745689392","0.710803747177124","0.710803747177124","0.710803747177124"
"90","0.3078438937664032","0.3078438937664032","0.3078438937664032","0.7129184007644653","0.7129184007644653","0.7129184007644653","0.33871039748191833","0.33871039748191833","0.33871039748191833","0.7090471982955933","0.7090471982955933","0.7090471982955933","0.5861037969589233","0.5861037969589233","0.5861037969589233","0.6716126799583435","0.6716126799583435","0.6716126799583435"
"135","0.20803669095039368","0.20803669095039368","0.20803669095039368","0.7042269110679626","0.7042269110679626","0.7042269110679626","0.23077918589115143","0.23077918589115143","0.23077918589115143","0.690395712852478","0.690395712852478","0.690395712852478","0.3740081787109375","0.3740081787109375","0.3740081787109375","0.45544514060020447","0.45544514060020447","0.45544514060020447"
"180","0.16413646936416626","0.16413646936416626","0.16413646936416626","0.6795246601104736","0.6795246601104736","0.6795246601104736","0.18120042979717255","0.18120042979717255","0.18120042979717255","0.6127448081970215","0.6127448081970215","0.6127448081970215","0.2670513987541199","0.2670513987541199","0.2670513987541199","0.30089670419692993","0.30089670419692993","0.30089670419692993"
"225","0.1247645765542984","0.1247645765542984","0.1247645765542984","0.5928798317909241","0.5928798317909241","0.5928798317909241","0.13954685628414154","0.13954685628414154","0.13954685628414154","0.48398467898368835","0.48398467898368835","0.48398467898368835","0.2017948031425476","0.2017948031425476","0.2017948031425476","0.22614678740501404","0.22614678740501404","0.22614678740501404"
"270","0.10093571245670319","0.10093571245670319","0.10093571245670319","0.45608755946159363","0.45608755946159363","0.45608755946159363","0.10949187725782394","0.10949187725782394","0.10949187725782394","0.3764754831790924","0.3764754831790924","0.3764754831790924","0.1676880270242691","0.1676880270242691","0.1676880270242691","0.18501509726047516","0.18501509726047516","0.18501509726047516"
"315","0.08348801732063293","0.08348801732063293","0.08348801732063293","0.36073699593544006","0.36073699593544006","0.36073699593544006","0.08729365468025208","0.08729365468025208","0.08729365468025208","0.3009236454963684","0.3009236454963684","0.3009236454963684","0.13673332333564758","0.13673332333564758","0.13673332333564758","0.15181967616081238","0.15181967616081238","0.15181967616081238"
"360","0.07036343216896057","0.07036343216896057","0.07036343216896057","0.2978595197200775","0.2978595197200775","0.2978595197200775","0.07421315461397171","0.07421315461397171","0.07421315461397171","0.25136831402778625","0.25136831402778625","0.25136831402778625","0.11196446418762207","0.11196446418762207","0.11196446418762207","0.12302429229021072","0.12302429229021072","0.12302429229021072"
"405","0.06095348298549652","0.06095348298549652","0.06095348298549652","0.25224658846855164","0.25224658846855164","0.25224658846855164","0.0640658587217331","0.0640658587217331","0.0640658587217331","0.21266521513462067","0.21266521513462067","0.21266521513462067","0.0944424718618393","0.0944424718618393","0.0944424718618393","0.09800547361373901","0.09800547361373901","0.09800547361373901"
"450","0.053303062915802","0.053303062915802","0.053303062915802","0.21631962060928345","0.21631962060928345","0.21631962060928345","0.05729256570339203","0.05729256570339203","0.05729256570339203","0.1868637353181839","0.1868637353181839","0.1868637353181839","0.08275073766708374","0.08275073766708374","0.08275073766708374","0.0830334946513176","0.0830334946513176","0.0830334946513176"
